folder,goal
40cefcc0-6c99-4c69-b24f-2d93b7512cac,Open the colors and style settings and change the theme to light blue
9b1cebe8-eed0-4700-a1ba-c25bbf1f4f01,Open the colors and style settings and change the theme to light blue
f9e6a568-a2a5-46c9-841f-211e8b844660,Open the colors and style settings and change the theme to light blue
b9dd76fb-02a3-4176-8c51-0c8ebfe89657,Open the colors and style settings and change the theme to light blue
51dfb74f-cd25-482b-a864-e4d63341d089,Create a new entry
af6965dd-b7a5-4cd4-a78e-c9fb09a08834,Create a new entry
18668f69-5a93-49e7-b392-3d8de9962bee,Create a new entry
d6eac73d-f596-4ed5-bfb0-970835e228ab,Create a new entry
74bdbf63-635c-41ff-bfed-b7c08c8342ea,Create a new entry
5346a2db-5199-48a3-a8a7-72641cbfb8f9,Create a new entry
89685020-17a0-4950-9b42-9dbecfb7deb1,Create a new entry
05ec3ed6-405f-4a47-b421-a5d1006e0427,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
b825db17-e969-4d84-a2e9-0f442203aec2,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
438a064b-5e0c-48d9-bc02-49a9bf0520c7,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
ea2822b6-ee8c-4652-9c66-a16193510434,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
13344d14-d9fe-471a-a3a2-472163bbc563,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
91feaec1-c865-4fd4-abbc-01ce5ae87c30,"Write a new entry for today titled Social Distancing Day 10 and write ""Today I attended virtual meetings and played trivia with my friends"" and then save it"
c348a92a-77ac-4678-a12f-7f8dd91f0987,"tap ""add new event"" and enter ""birthday"" for event title"
2facb5d1-56d4-48a5-955e-9e7eb682240b,"tap ""add new event"" and enter ""birthday"" for event title"
1b550ff4-0830-4656-b37c-7194bbf1f861,"tap ""add new event"" and enter ""birthday"" for event title"
1c601177-7586-4f99-bcce-b8d7940a2df4,"tap ""add new event"" and enter ""birthday"" for event title"
07756aa8-77ec-41d7-b4a8-b3649adbffb8,"tap ""add new event"" and enter ""birthday"" for event title"
f2e4fa6c-e88b-4cdf-afcf-e2ec63ac3682,"tap ""add new event"" and enter ""birthday"" for event title"
03bc9631-fba7-4e8d-8cf4-c1525e7e09d8,"tap ""add new event"" and enter ""birthday"" for event title"
3713df2f-4218-4b56-8605-f17cdd69951a,"Create a new Group with the name ""Goals"""
074820da-9e32-4b37-b37c-e477008bb669,"Create a new Group with the name ""Goals"""
be54011d-63d1-43df-ba1e-8bbb7bac34f7,"Create a new Group with the name ""Goals"""
3717eccc-6526-4a46-bcc9-02e214f06929,"Create a new Group with the name ""Goals"""
18ecc988-a1cd-4b93-8ceb-a5f7a82dc89e,"Create a new Group with the name ""Goals"""
b7fe865a-f06c-4b6d-a887-c71d20f6e4c7,"Create a new Group with the name ""Goals"""
f6b9c124-ca44-4f58-82e0-b905aec560bd,language collection 7
2d95a6bd-bb04-47fe-b76e-67990d5d31da,language collection 33
29462aba-b54b-4622-be19-4261e1ac443d,language collection 42
8274c1f1-0a64-48d3-bab3-6b290c5935ec,language collection 52
68c22a51-21e4-46da-b510-8b3c2e184644,Go to settings and select appearance font as ‘Roboto’
85ad54fc-ba03-4d72-aba6-cb8600f8ed80,Find notifications and enable notifications for today’s weather
53ff8733-f357-4f1e-a259-05431255e0e0,Select hourly weather and click the drop down for the first available time displayed
ac887809-c2cb-4250-890c-b55849a77fd0,Select 3 dot icon and click ‘saved’
6f8ad6e7-8cdb-4571-bf9f-94dec62c3394,Click timeline
a87e1aed-7a00-4803-8231-44b2644a7f38,reset sticker settings
9284c452-2299-411d-9f19-4d47d0c954b1,turn on notifications
94fefde5-c61f-4d5d-a474-d73aa7ead4d2,turn on backup and restore
74328adc-39a5-4f0c-8009-1be97d19a57b,Open settings
a76373ad-30a4-4837-ab6e-7b8284119fa2,Select layers
2968e0a1-a268-4aaf-90c9-2e32bc388b4c,Pause radar
328ee371-f44f-4312-a1ef-2a8f46e47ea7,Change Pressure to Hectopascals
09ede55d-81d9-4c95-a928-9529809a5c40,show ignored issues
932f5b06-497b-48a1-8848-f0bce4086ae7,show ignored issues
507c340f-f33d-414e-af85-b963fe4dae2d,show ignored issues
b9e7564b-6f89-46aa-90a7-85aaad34b2f1,resolve issues
2967f3fe-9b07-45f9-aec0-7cb39b933137,Start Safe Clean
73360e78-8f4c-42c4-98e7-88cc2e8648eb,Start Safe Clean
e17de4c0-f0fa-42fb-ae12-3bebe9608db2,Start Safe Clean
3014b36b-a868-4028-9fbe-0bcc21d761e7,Toggle Sync account only via Wifi
e904a4d6-6577-4826-ad9f-7e3e95686181,Change the size of the font
6f62250a-1f47-4d4b-8bfb-2783ed49d914,search top stories in US and Canada
0b576fc7-8f1c-44c3-95d8-4bce88d9fd37,Click on the search button and look up covid 19
bf08448b-397b-4e71-abb4-73bc3cd82c34,Create new Presentation
6c2f6b4d-8f0a-48e0-95c4-2eb0e8e9ded9,Open TXT
cc58f2f1-6fd5-4fed-bdd2-adcc6bd053ce,Go to Experience
060e4c3d-8f93-443c-928a-fa7b94a28eae,Show Recent
724289c1-bd64-48ea-83ae-ee2a8ab646d2,Add a language section
91de9f72-371f-4704-8e12-0a4d529c1511,view women's clothing
4b6cab53-4c0a-412b-ada0-670020d3dc19,view tea pots
b848e577-927b-416a-ad6f-fb5a34efbf8d,view best deals on watches
223c0a63-bb4e-4b4b-b142-cbf6f4223d79,select gender as male
8456c9b9-7bc4-4ec5-88ff-1d3c70163155,adjust filter to four stars and up
6607d02f-7010-4c9e-a12b-8837b23cb7f8,go to car rentals
1d3d5d88-df74-4057-8c22-82b44973933a,go to my lists
5f6c4461-aca1-4c4f-ab8f-d078d0e52231,Save the Royal Sonesta Chicago to my favorites
4b4fd18b-8d76-4d68-a355-0e169542d819,search hotels in Miami for 2 adults
afc0d63d-7869-470c-96b7-352629e6756d,Scroll down to Popular Destinations
